Date-Time (EST),Temperature_Sensor1 2025-03-08 10_53_43 EST (Data EST),Temperature_Sensor2 2025-03-08 11_36_27 EST (Data EST),Temperature_Sensor3 2025-03-08 12_57_01 EST (Data EST),Temperature_Sensor4 2025-03-08 13_24_43 EST (Data EST),Temperature_Sensor5 2025-03-08 10_27_43 EST (Data EST)
2/10/2025 1:40,9.56,11.37,16.3,15.18,9.01
2/10/2025 1:42,9.61,11.37,16.34,15.18,9.05
2/10/2025 1:44,9.61,11.37,16.34,15.18,9.01
2/10/2025 1:46,9.56,11.41,16.3,15.18,9.01
2/10/2025 1:48,9.61,11.37,16.34,15.18,8.96
2/10/2025 1:50,9.56,11.37,16.3,15.14,9.01
2/10/2025 1:52,9.61,11.41,16.3,15.14,9.05
2/10/2025 1:54,9.56,11.37,16.3,15.14,9.05
2/10/2025 1:56,9.52,11.41,16.3,15.18,9.05
2/10/2025 1:58,9.54,11.41,16.3,15.18,9.01
2/10/2025 2:00,9.56,11.41,16.34,15.18,9.05
2/10/2025 2:02,9.56,11.37,16.34,15.18,9.05
2/10/2025 2:04,9.56,11.32,16.3,15.18,9.09
2/10/2025 2:06,9.56,11.37,16.34,15.18,9.025
2/10/2025 2:08,9.52,11.37,16.34,15.18,8.96
2/10/2025 2:10,9.52,11.37,16.34,15.14,8.92
2/10/2025 2:12,9.56,11.37,16.39,15.18,8.92
2/10/2025 2:14,9.52,11.37,16.34,15.18,8.92
2/10/2025 2:16,9.52,11.37,16.34,15.18,8.96
2/10/2025 2:18,9.52,11.32,16.3,15.14,8.96
2/10/2025 2:20,9.61,11.32,16.34,15.18,8.96
2/10/2025 2:22,9.56,11.37,16.3,15.18,8.92
2/10/2025 2:24,9.52,11.37,16.34,15.18,8.88
2/10/2025 2:26,9.56,11.32,16.34,15.18,8.88
2/10/2025 2:28,9.52,11.37,16.34,15.14,8.88
2/10/2025 2:30,9.56,11.37,16.3,15.14,8.92
2/10/2025 2:32,9.56,11.37,16.34,15.18,8.92
2/10/2025 2:34,9.52,11.32,16.34,15.14,8.92
2/10/2025 2:36,9.56,11.37,16.3,15.18,8.96
2/10/2025 2:38,9.56,11.32,16.34,15.18,8.88
2/10/2025 2:40,9.56,11.32,16.3,15.14,8.79
2/10/2025 2:42,9.56,11.32,16.34,15.16,8.79
2/10/2025 2:44,9.56,11.32,16.34,15.18,8.83
2/10/2025 2:46,9.52,11.41,16.3,15.18,8.83
2/10/2025 2:48,9.56,11.32,16.3,15.18,8.83
2/10/2025 2:50,9.52,11.37,16.34,15.18,8.88
2/10/2025 2:52,9.56,11.37,16.34,15.18,8.79
2/10/2025 2:54,9.56,11.37,16.34,15.14,8.83
2/10/2025 2:56,9.52,11.37,16.34,15.18,8.79
2/10/2025 2:58,9.52,11.37,16.3,15.18,8.83
2/10/2025 3:00,9.52,11.37,16.26,15.18,8.83
2/10/2025 3:02,9.52,11.32,16.34,15.18,8.79
2/10/2025 3:04,9.52,11.37,16.34,15.18,8.79
2/10/2025 3:06,9.56,11.37,16.34,15.18,8.75
2/10/2025 3:08,9.56,11.41,16.3,15.18,8.79
2/10/2025 3:10,9.61,11.32,16.34,15.18,8.79
2/10/2025 3:12,9.52,11.37,16.34,15.18,8.79
2/10/2025 3:14,9.56,11.32,16.34,15.18,8.75
2/10/2025 3:16,9.56,11.32,16.34,15.18,8.75
2/10/2025 3:18,9.61,11.37,16.34,15.18,8.75
2/10/2025 3:20,9.52,11.32,16.34,15.14,8.75
2/10/2025 3:22,9.52,11.32,16.3,15.14,8.71
2/10/2025 3:24,9.52,11.32,16.34,15.18,8.75
2/10/2025 3:26,9.52,11.32,16.34,15.14,8.75
2/10/2025 3:28,9.52,11.37,16.34,15.16,8.75
2/10/2025 3:30,9.56,11.32,16.3,15.18,8.71
2/10/2025 3:32,9.52,11.32,16.34,15.18,8.71
2/10/2025 3:34,9.52,11.37,16.3,15.18,8.75
2/10/2025 3:36,9.52,11.28,16.34,15.14,8.71
2/10/2025 3:38,9.52,11.32,16.3,15.14,8.71
2/10/2025 3:40,9.56,11.37,16.34,15.14,8.66
2/10/2025 3:42,9.52,11.32,16.34,15.14,8.66
2/10/2025 3:44,9.48,11.37,16.34,15.16,8.66
2/10/2025 3:46,9.52,11.32,16.34,15.18,8.66
2/10/2025 3:48,9.52,11.32,16.34,15.18,8.62
2/10/2025 3:50,9.48,11.28,16.3,15.18,8.58
2/10/2025 3:52,9.48,11.28,16.3,15.18,8.58
2/10/2025 3:54,9.52,11.32,16.34,15.18,8.58
2/10/2025 3:56,9.48,11.37,16.3,15.18,8.58
2/10/2025 3:58,9.52,11.37,16.3,15.18,8.53
2/10/2025 4:00,9.48,11.37,16.3,15.18,8.58
2/10/2025 4:02,9.52,11.32,16.3,15.18,8.49
2/10/2025 4:04,9.52,11.32,16.34,15.18,8.58
2/10/2025 4:06,9.48,11.28,16.34,15.18,8.53
2/10/2025 4:08,9.52,11.37,16.34,15.18,8.49
2/10/2025 4:10,9.48,11.32,16.3,15.18,8.45
2/10/2025 4:12,9.48,11.28,16.3,15.14,8.49
2/10/2025 4:14,9.48,11.3,16.34,15.18,8.53
2/10/2025 4:16,9.48,11.32,16.34,15.14,8.58
2/10/2025 4:18,9.52,11.37,16.34,15.14,8.58
2/10/2025 4:20,9.52,11.32,16.34,15.16,8.58
2/10/2025 4:22,9.48,11.32,16.34,15.18,8.58
2/10/2025 4:24,9.52,11.32,16.34,15.18,8.58
2/10/2025 4:26,9.52,11.32,16.3,15.18,8.58
2/10/2025 4:28,9.52,11.32,16.3,15.18,8.58
2/10/2025 4:30,9.48,11.28,16.34,15.18,8.53
2/10/2025 4:32,9.48,11.32,16.34,15.18,8.53
2/10/2025 4:34,9.48,11.37,16.3,15.18,8.58
2/10/2025 4:36,9.48,11.32,16.34,15.18,8.62
2/10/2025 4:38,9.44,11.32,16.34,15.14,8.62
2/10/2025 4:40,9.44,11.37,16.34,15.18,8.58
2/10/2025 4:42,9.44,11.32,16.39,15.18,8.53
2/10/2025 4:44,9.48,11.32,16.365,15.14,8.53
2/10/2025 4:46,9.48,11.37,16.34,15.18,8.58
2/10/2025 4:48,9.48,11.32,16.34,15.18,8.58
2/10/2025 4:50,9.44,11.32,16.34,15.18,8.53
